57 170 40 62 124	70	FALLING_ACTION
194	197	PRECONDITION
57 170 40 62 124	175_176_177_178	FALLING_ACTION
41	70	FALLING_ACTION
191 39 126 72	132	PRECONDITION
194	201	PRECONDITION
57 170 40 62 124	57 170 40 62 124	FALLING_ACTION
191 39 126 72	79	FALLING_ACTION
70	191 39 126 72	FALLING_ACTION
41	57 170 40 62 124	FALLING_ACTION
57 170 40 62 124	70	FALLING_ACTION
186_187_188_189	191 39 126 72	FALLING_ACTION
191 39 126 72	57 170 40 62 124	PRECONDITION
191 39 126 72	194	FALLING_ACTION
57 170 40 62 124	191 39 126 72	FALLING_ACTION
